timestamp,alt_max,landed,freefall,ground_contact,maybe_landed,in_ground_effect
757409622,inf,1,0,0,0,0
758431134,inf,1,0,0,0,0
759448026,inf,1,0,0,0,0
760466616,inf,1,0,0,0,0
761482415,inf,1,0,0,0,0
762499573,inf,1,0,0,0,0
763518516,inf,1,0,0,0,0
764535569,inf,1,0,0,0,0
765536849,inf,1,0,0,0,0
766551583,inf,1,0,0,0,0
767567571,inf,1,0,0,0,0
768583047,inf,1,0,0,0,0
769598585,inf,1,0,0,0,0
770613596,inf,1,0,0,0,0
771631576,inf,1,0,0,0,0
772650613,inf,1,0,0,0,0
773662520,inf,1,0,0,0,0
774680565,inf,1,0,0,0,0
775700558,inf,1,0,0,0,0
776711588,inf,1,0,0,0,0
777731578,inf,1,0,0,0,0
778742509,inf,1,0,0,0,0
779757596,inf,1,0,0,0,0
780774510,inf,1,0,0,0,0
781790510,inf,1,0,0,0,0
782805593,inf,1,0,0,0,0
783819325,inf,1,0,0,0,0
784834510,inf,1,0,0,0,0
785849852,inf,1,0,0,0,0
786869622,inf,1,0,0,0,0
787885580,inf,1,0,0,0,0
788897600,inf,1,0,0,0,0
789915231,inf,1,0,0,0,0
790915626,inf,1,0,0,0,0
791933604,inf,1,0,0,0,0
792948560,inf,1,0,0,0,0
793962808,inf,1,0,0,0,0
794983580,inf,1,0,0,0,0
796002510,inf,1,0,0,0,0
797005320,inf,1,0,0,0,0
798022508,inf,1,0,0,0,0
799040024,inf,1,0,0,0,0
800055574,inf,1,0,0,0,0
801072564,inf,1,0,0,0,0
802078525,inf,1,0,0,0,0
803095578,inf,1,0,0,0,0
804108916,inf,1,0,0,0,0
805120559,inf,1,0,0,0,0
806124586,inf,1,0,0,0,0
807125591,inf,1,0,0,0,0
808145590,inf,1,0,0,0,0
809159585,inf,1,0,0,0,0
810178512,inf,1,0,0,0,0
811185590,inf,1,0,0,0,0
812198513,inf,1,0,0,0,0
813214514,inf,1,0,0,0,0
814230512,inf,1,0,0,0,0
815248011,inf,1,0,0,0,0
816249849,inf,1,0,0,0,0
817270530,inf,1,0,0,0,0
818290511,inf,1,0,0,0,0
819302565,inf,1,0,0,0,0
