timestamp,speed_xy,speed_up,speed_down,want_takeoff
1119206099,5.0,3.0,1.0,0
1120204702,5.0,3.0,1.0,0
1121208452,12.0,3.0,1.0,0
1122206578,12.0,3.0,1.0,0
1123205622,12.0,3.0,1.0,0
1124184398,12.0,3.0,1.0,0
1125192852,12.0,3.0,1.0,0
1126195419,12.0,3.0,1.0,0
1127209004,12.0,3.0,1.0,0
1128197694,12.0,3.0,1.0,0
1129192929,12.0,3.0,1.0,0
1130206574,12.0,3.0,1.0,0
1131205626,12.0,3.0,1.0,0
1132204342,12.0,3.0,1.0,0
1133192851,12.0,3.0,1.0,0
1134206680,12.0,3.0,1.0,0
1135205433,12.0,3.0,1.0,0
1136184770,12.0,3.0,1.0,0
1137192861,12.0,3.0,1.0,0
1138191674,12.0,3.0,1.0,0
1139205381,12.0,3.0,1.0,0
1140204385,12.0,3.0,1.0,0
1141192875,12.0,3.0,1.0,0
1142193238,5.0,3.0,1.0,1
1143205994,5.0,3.0,1.0,1
1144184516,5.0,3.0,1.0,1
1145206778,5.0,3.0,1.0,1
1146210471,5.0,3.0,1.0,0
1147205547,5.0,3.0,1.0,0
1148204851,5.0,3.0,1.0,0
1149193081,5.0,3.0,1.0,0
1150191953,5.0,3.0,1.0,0
1151205599,5.0,3.0,1.0,0
1152205016,5.0,3.0,1.0,0
1153193621,5.0,3.0,1.0,0
1154191922,5.0,3.0,1.0,0
1155205679,5.0,3.0,1.0,0
1156204662,5.0,3.0,1.0,0
1157193124,5.0,3.0,1.0,0
