timestamp,roll_body,pitch_body,yaw_body,yaw_sp_move_rate,q_d[0],q_d[1],q_d[2],q_d[3],thrust_body[0],thrust_body[1],thrust_body[2],roll_reset_integral,pitch_reset_integral,yaw_reset_integral,fw_control_yaw,apply_flaps
802695989,-0.063021675,-0.0985975,-2.3581872,0.0,-0.3796747,0.05753687,-0.010280555,0.9232719,0.0,0.0,-0.32899278,0,0,0,0,0
802744243,-0.07093636,-0.10388827,-2.3581872,0.0,-0.37930635,0.06147747,-0.012921803,0.9231361,0.0,0.0,-0.33247903,0,0,0,0,0
802794759,-0.059406664,-0.11464895,-2.3581872,0.0,-0.37939486,0.06424971,-0.0055417703,0.9229847,0.0,0.0,-0.33797663,0,0,0,0,0
802843818,-0.07143091,-0.109426446,-2.3581872,0.0,-0.3791435,0.06412334,-0.01209024,0.92303425,0.0,0.0,-0.3408647,0,0,0,0,0
802894628,-0.06740202,-0.11825655,-2.3581872,0.0,-0.37903887,0.06742794,-0.008541182,0.9228814,0.0,0.0,-0.34433058,0,0,0,0,0
802943708,-0.08074947,-0.111853704,-2.3581872,0.0,-0.37876984,0.067007214,-0.015926031,0.9229246,0.0,0.0,-0.34604588,0,0,0,0,0
803003917,-0.08257073,-0.115171894,-2.3581872,0.0,-0.3786096,0.068880275,-0.016131056,0.92284894,0.0,0.0,-0.346474,0,0,0,0,0
803043745,-0.07332565,-0.11219251,-2.3581872,0.0,-0.37900668,0.06575689,-0.012435265,0.92297095,0.0,0.0,-0.34657252,0,0,0,0,0
803094594,-0.07723921,-0.10294612,-2.3581872,0.0,-0.37913677,0.062238377,-0.01601126,0.9231064,0.0,0.0,-0.3451963,0,0,0,0,0
803143695,-0.06809817,-0.10611011,-2.3581872,0.0,-0.379336,0.06196314,-0.011186661,0.9231141,0.0,0.0,-0.34235504,0,0,0,0,0
803198499,-0.07907553,-0.09200747,-2.3581872,0.0,-0.37938073,0.057545364,-0.018952422,0.9232549,0.0,0.0,-0.34039283,0,0,0,0,0
803248976,-0.068793714,-0.10647077,-2.3581872,0.0,-0.37930512,0.06226128,-0.01143868,0.92310363,0.0,0.0,-0.34121925,0,0,0,0,0
803299904,-0.067742795,-0.10347857,-2.3581872,0.0,-0.37941444,0.060682885,-0.011526122,0.9231627,0.0,0.0,-0.3421909,0,0,0,0,0
803349014,-0.074608795,-0.09512083,-2.3581872,0.0,-0.3794269,0.058133096,-0.016294679,0.92324984,0.0,0.0,-0.33942223,0,0,0,0,0
803398276,-0.06686279,-0.09299794,-2.3581872,0.0,-0.379701,0.055684354,-0.013124904,0.92333853,0.0,0.0,-0.33742428,0,0,0,0,0
803448466,-0.05582292,-0.09293078,-2.3581872,0.0,-0.38000405,0.053556614,-0.0080408,0.9233981,0.0,0.0,-0.3366305,0,0,0,0,0
803499333,-0.05787034,-0.08753328,-2.3581872,0.0,-0.38006762,0.051456176,-0.010018146,0.92347205,0.0,0.0,-0.3355961,0,0,0,0,0
803548750,-0.06703779,-0.08951268,-2.3581872,0.0,-0.37978038,0.054110527,-0.013872361,0.9233886,0.0,0.0,-0.33517292,0,0,0,0,0
803598022,-0.06704949,-0.095977284,-2.3581872,0.0,-0.3796228,0.05709343,-0.012641169,0.92329144,0.0,0.0,-0.3354724,0,0,0,0,0
803648212,-0.06740748,-0.09936168,-2.3581872,0.0,-0.3795285,0.058721606,-0.01215898,0.9232345,0.0,0.0,-0.336986,0,0,0,0,0
803699245,-0.066425115,-0.09688392,-2.3581872,0.0,-0.3796184,0.057392914,-0.012179496,0.9232809,0.0,0.0,-0.33866882,0,0,0,0,0
803748101,-0.07772934,-0.088767625,-2.3581872,0.0,-0.3795053,0.0557965,-0.018950934,0.92331105,0.0,0.0,-0.33793256,0,0,0,0,0
803798062,-0.067954436,-0.09861542,-2.3581872,0.0,-0.3795312,0.05848138,-0.012554231,0.9232434,0.0,0.0,-0.33925673,0,0,0,0,0
803848369,-0.05829952,-0.09591947,-2.3581872,0.0,-0.37987027,0.055405386,-0.0086127315,0.92333883,0.0,0.0,-0.33929512,0,0,0,0,0
803899535,-0.06541029,-0.09066571,-2.3581872,0.0,-0.37979698,0.054333176,-0.012900419,0.92338276,0.0,0.0,-0.3387811,0,0,0,0,0
803947880,-0.0601882,-0.09389076,-2.3581872,0.0,-0.37986436,0.054828595,-0.009872643,0.9233631,0.0,0.0,-0.33812293,0,0,0,0,0
803997863,-0.05322717,-0.09875712,-2.3581872,0.0,-0.3799484,0.05575044,-0.0057284385,0.9233083,0.0,0.0,-0.3372829,0,0,0,0,0
804047760,-0.050754357,-0.08427731,-2.3581872,0.0,-0.38031304,0.048601445,-0.0073547577,0.92355067,0.0,0.0,-0.3372524,0,0,0,0,0
804098965,-0.06316947,-0.07774641,-2.3581872,0.0,-0.38014972,0.047948763,-0.014336408,0.92357004,0.0,0.0,-0.3353865,0,0,0,0,0
804147648,-0.055297237,-0.076159224,-2.3581872,0.0,-0.38036746,0.045719735,-0.011004433,0.9236392,0.0,0.0,-0.33412403,0,0,0,0,0
804197367,-0.04945284,-0.07406877,-2.3581872,0.0,-0.38053825,0.043643314,-0.008704859,0.9236937,0.0,0.0,-0.33344543,0,0,0,0,0
804247539,-0.058788687,-0.07294477,-2.3581872,0.0,-0.3803535,0.04490053,-0.013231354,0.92365587,0.0,0.0,-0.33386847,0,0,0,0,0
804297608,-0.05372092,-0.08121115,-2.3581872,0.0,-0.38030273,0.04775092,-0.009310765,0.92358154,0.0,0.0,-0.33491796,0,0,0,0,0
804347203,-0.03437516,-0.0885759,-2.3537824,0.0,-0.3826618,0.047466613,0.0011345708,0.9226676,0.0,0.0,-0.33643717,0,0,0,0,0
804397337,0.0010404417,-0.07962507,-2.3537824,0.0,-0.38351235,0.036554366,0.015755909,0.9226776,0.0,0.0,-0.337692,0,0,0,0,0
804447153,0.014245198,-0.07656041,-2.3537824,0.0,-0.3837582,0.032607462,0.021260135,0.92261285,0.0,0.0,-0.33707374,0,0,0,0,0
804498167,0.048734106,-0.07814233,-2.3537824,0.0,-0.38426945,0.026715154,0.037468705,0.9220734,0.0,0.0,-0.3372588,0,0,0,0,0
804547125,0.08476232,-0.0757004,-2.3537824,0.0,-0.38465866,0.018662548,0.05360606,0.921312,0.0,0.0,-0.33876732,0,0,0,0,0
804597764,0.12398519,-0.07415916,-2.3537824,0.0,-0.38491762,0.0104053095,0.071369514,0.9201285,0.0,0.0,-0.34157926,0,0,0,0,0
804647005,0.13382202,-0.073756784,-2.3537824,0.0,-0.38495457,0.008326576,0.07581768,0.9197784,0.0,0.0,-0.34109905,0,0,0,0,0
804698177,0.16920757,-0.06291781,-2.3537824,0.0,-0.38468984,-0.0034749203,0.090021506,0.9186391,0.0,0.0,-0.3437196,0,0,0,0,0
804746763,0.1793836,-0.055407666,-2.3537824,0.0,-0.3843991,-0.008888046,0.0932688,0.91840035,0.0,0.0,-0.34257087,0,0,0,0,0
804796966,0.21464945,-0.03782608,-2.3537824,0.0,-0.3833916,-0.023741461,0.10611426,0.9171625,0.0,0.0,-0.34375864,0,0,0,0,0
804846921,0.21741837,-0.018763814,-2.3537824,0.0,-0.38245493,-0.033026192,0.10376138,0.9175353,0.0,0.0,-0.344034,0,0,0,0,0
804897966,0.22774825,0.0044869035,-2.3537824,0.0,-0.38107526,-0.04566831,0.10407051,0.9175322,0.0,0.0,-0.34614566,0,0,0,0,0
804946538,0.23362947,0.020296892,-2.3537824,0.0,-0.38006997,-0.05403622,0.10374971,0.9175309,0.0,0.0,-0.34527802,0,0,0,0,0
804996747,0.25186968,0.039794017,-2.3537824,0.0,-0.37837502,-0.0664228,0.10838486,0.9168823,0.0,0.0,-0.34443417,0,0,0,0,0
805046509,0.26304287,0.049903758,-2.3537824,0.0,-0.37734294,-0.07315615,0.11156887,0.91641307,0.0,0.0,-0.34579176,0,0,0,0,0
805097907,0.29056206,0.0709097,-2.3537824,0.0,-0.37477678,-0.087915555,0.12013828,0.9150847,0.0,0.0,-0.34858808,0,0,0,0,0
805146363,0.28174606,0.06361454,-2.3537824,0.0,-0.37567997,-0.08293632,0.11750462,0.9155211,0.0,0.0,-0.34615672,0,0,0,0,0
805196545,0.27959275,0.05086055,-2.3537824,0.0,-0.37665856,-0.076712765,0.118964925,0.915473,0.0,0.0,-0.3457863,0,0,0,0,0
805246432,0.26065692,0.03560948,-2.3537824,0.0,-0.3783456,-0.066171244,0.113213025,0.91632897,0.0,0.0,-0.34353188,0,0,0,0,0
805298269,0.256088,0.021101497,-2.3537824,0.0,-0.37939018,-0.058668837,0.11389252,0.91632396,0.0,0.0,-0.34322467,0,0,0,0,0
805346255,0.24380934,0.010068156,-2.3537824,0.0,-0.38037902,-0.051284343,0.110371135,0.91678786,0.0,0.0,-0.34308603,0,0,0,0,0
805399760,0.23921789,0.001110371,-2.3537824,0.0,-0.38099402,-0.04630522,0.109974235,0.91684514,0.0,0.0,-0.34539163,0,0,0,0,0
805445998,0.20441687,-0.0051563554,-2.3537824,0.0,-0.38203612,-0.036790624,0.095200814,0.9184942,0.0,0.0,-0.34119663,0,0,0,0,0
805495973,0.19279557,-0.00031564943,-2.3537824,0.0,-0.3820296,-0.036794886,0.08893788,0.91912436,0.0,0.0,-0.34121853,0,0,0,0,0
805545887,0.17472513,-0.0001421612,-2.3537824,0.0,-0.3823395,-0.033421498,0.08059671,0.9198933,0.0,0.0,-0.3402087,0,0,0,0,0
