timestamp,timestamp_sample,control[0],control[1],control[2],control[3],control[4],control[5],control[6],control[7]
1341992885,1341992575,0.0050684274,0.038659077,-9.245322e-05,0.34293774,0.0,0.0,0.0,-1.0
1342046570,1342046263,0.023487607,-0.016112056,-0.0047260677,0.34168345,0.0,0.0,0.0,-1.0
1342094010,1342093709,-0.010371278,-0.012780115,-0.0057916255,0.3418937,0.0,0.0,0.0,-1.0
1342142705,1342142403,-0.022162747,-0.008852988,-0.010917727,0.34246778,0.0,0.0,0.0,-1.0
1342191407,1342191098,-0.020089116,-0.024112532,-0.007388027,0.3424569,0.0,0.0,0.0,-1.0
1342246345,1342246041,0.009821593,0.0028905352,-0.012260153,0.34320617,0.0,0.0,0.0,-1.0
1342293781,1342293480,-0.041270554,-0.024433214,-0.018754976,0.3436671,0.0,0.0,0.0,-1.0
1342342499,1342342180,-0.027658198,-0.0130683975,-0.017335735,0.34239045,0.0,0.0,0.0,-1.0
1342394919,1342394613,-0.027882563,-0.013311941,-0.02196981,0.3426601,0.0,0.0,0.0,-1.0
1342443610,1342443308,-0.015562751,-0.01608579,-0.023800066,0.34235296,0.0,0.0,0.0,-1.0
1342493563,1342493250,-0.041274462,-0.024840396,-0.02402706,0.34258074,0.0,0.0,0.0,-1.0
1342542290,1342541944,-0.033089425,-0.01964923,-0.030109145,0.34409255,0.0,0.0,0.0,-1.0
1342594697,1342594395,-0.01418431,-0.006801405,-0.034485094,0.34349656,0.0,0.0,0.0,-1.0
1342643398,1342643089,-0.009547523,-0.030145297,-0.028942654,0.34417063,0.0,0.0,0.0,-1.0
1342692073,1342691772,-0.045404587,-0.06702963,-0.03580393,0.34740072,0.0,0.0,0.0,-1.0
1342745764,1342745461,-0.01660873,0.0009530479,-0.03197704,0.3474125,0.0,0.0,0.0,-1.0
1342795709,1342795403,-0.060069826,-0.043526504,-0.037428707,0.34702262,0.0,0.0,0.0,-1.0
1342843168,1342842855,-0.021290215,-0.029688518,-0.04712119,0.34884697,0.0,0.0,0.0,-1.0
1342891849,1342891543,-0.02024853,-0.0019663123,-0.03998129,0.3463912,0.0,0.0,0.0,-1.0
1342945534,1342945232,-0.041441936,-0.05125447,-0.044508904,0.34752908,0.0,0.0,0.0,-1.0
1342992978,1342992677,-0.022177568,-0.0028372249,-0.039860826,0.34815088,0.0,0.0,0.0,-1.0
1343042927,1343042620,-0.017208999,-0.0065905335,-0.036294766,0.34764752,0.0,0.0,0.0,-1.0
1343095380,1343095060,-0.025406104,-0.03052944,-0.04225659,0.3489098,0.0,0.0,0.0,-1.0
1343145309,1343145002,-0.005001574,0.009037825,-0.03920362,0.3497341,0.0,0.0,0.0,-1.0
1343192749,1343192448,-0.025782017,-0.02977979,-0.0427331,0.3512781,0.0,0.0,0.0,-1.0
1343241455,1343241142,-0.03252227,-0.01586113,-0.04447645,0.35050005,0.0,0.0,0.0,-1.0
1343295147,1343294830,-0.018864065,-0.011124135,-0.04135271,0.35238555,0.0,0.0,0.0,-1.0
1343345077,1343344773,-0.014668988,-0.030824438,-0.04705487,0.35124484,0.0,0.0,0.0,-1.0
1343392520,1343392219,-0.031769596,-0.049918815,-0.05292994,0.35083038,0.0,0.0,0.0,-1.0
1343444961,1343444659,-0.0025849428,-0.020807046,-0.023016218,0.31567454,0.0,0.0,0.0,-1.0
1343494905,1343494601,-0.028072946,-0.030042192,-0.23837543,0.73480827,0.0,0.0,0.0,-1.0
1343544866,1343544560,-0.033044845,-0.07703754,-0.15639125,0.72005475,0.0,0.0,0.0,-1.0
1343592292,1343591989,-0.019093433,-0.028599948,-0.14278267,0.6701711,0.0,0.0,0.0,-1.0
1343644747,1343644444,-0.010348145,-0.025694223,-0.11752627,0.61420953,0.0,0.0,0.0,-1.0
1343695925,1343695621,0.0047022062,-0.0068402737,-0.10868106,0.56210166,0.0,0.0,0.0,-1.0
1343742121,1343741817,-0.0038267304,-0.018172327,-0.10116553,0.52026147,0.0,0.0,0.0,-1.0
1343794563,1343794258,-0.009363539,0.0008192769,-0.07239004,0.48736614,0.0,0.0,0.0,-1.0
1343848264,1343847962,0.008615715,-0.00893152,-0.07602365,0.4586237,0.0,0.0,0.0,-1.0
1343894453,1343894143,0.0061036632,-0.032220688,-0.07242816,0.4384592,0.0,0.0,0.0,-1.0
1343941892,1343941588,0.013752419,-0.009730492,-0.060437903,0.42628738,0.0,0.0,0.0,-1.0
1343994331,1343994028,0.006049018,0.0025244392,-0.058280163,0.4179231,0.0,0.0,0.0,-1.0
1344044273,1344043971,-0.0017044547,0.00021632879,-0.040275127,0.41237745,0.0,0.0,0.0,-1.0
1344099211,1344098908,-0.023375439,-0.004469401,-0.031302467,0.40690458,0.0,0.0,0.0,-1.0
1344145417,1344145105,-0.024506515,-0.004139623,-0.033173677,0.40723708,0.0,0.0,0.0,-1.0
1344194106,1344193799,0.010293772,0.015245885,-0.022210535,0.40604657,0.0,0.0,0.0,-1.0
1344247788,1344247487,-0.0043879636,0.020841116,-0.034383286,0.40367377,0.0,0.0,0.0,-1.0
1344291488,1344291187,-0.009464552,-0.04080826,-0.042735875,0.40693444,0.0,0.0,0.0,-1.0
1344343944,1344343626,-0.029618861,0.009191387,-0.031136835,0.40656468,0.0,0.0,0.0,-1.0
1344393885,1344393569,-0.010079969,-0.026368745,-0.02758037,0.39947984,0.0,0.0,0.0,-1.0
1344442569,1344442263,0.006388198,-0.034752034,-0.039528597,0.38205868,0.0,0.0,0.0,-1.0
1344495028,1344494721,-0.0073536383,0.014887349,-0.0075541944,0.3663099,0.0,0.0,0.0,-1.0
1344547455,1344547142,-0.034605786,-0.03706714,-0.031209119,0.353361,0.0,0.0,0.0,-1.0
1344592402,1344592091,-0.005637519,-0.024687948,-0.028991915,0.34212282,0.0,0.0,0.0,-1.0
