timestamp,data_rate,rate_multiplier,tx_rate_avg,tx_error_rate_avg,tx_message_count,tx_buffer_overruns,rx_rate_avg,rx_message_count,rx_message_lost_count,rx_buffer_overruns,rx_parse_errors,rx_packet_drop_count,rx_message_lost_rate,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams,heartbeat_type_antenna_tracker,heartbeat_type_gcs,heartbeat_type_onboard_controller,heartbeat_type_gimbal,heartbeat_type_adsb,heartbeat_type_camera,heartbeat_component_telemetry_radio,heartbeat_component_log,heartbeat_component_osd,heartbeat_component_obstacle_avoidance,heartbeat_component_vio,heartbeat_component_pairing_manager,heartbeat_component_udp_bridge,heartbeat_component_uart_bridge,avoidance_system_healthy
1375333001,20000.0,1.0,1770.8259,0.0,59859,0,2033.6516,15326,141,0,0,0,0.009200052,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1376291766,20000.0,1.0,1960.158,0.0,59899,0,2135.8137,15347,143,0,0,0,0.009317782,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1377300334,20000.0,1.0,1770.1272,0.0,59945,0,2137.7383,15368,143,0,0,0,0.00930505,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1378250142,20000.0,1.0,1963.5365,0.0,59985,0,1509.6437,15390,144,0,0,0,0.009356725,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1379268263,20000.0,1.0,1768.9874,0.0,60030,0,2660.4692,15411,144,0,0,0,0.009343975,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1380244741,20000.0,1.0,1995.8987,0.0,60070,0,2026.7734,15432,145,0,0,0,0.00939606,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1381271518,20000.0,1.0,1770.1572,0.0,60119,0,1823.102,15453,147,0,0,0,0.009512716,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1382245240,20000.0,1.0,2016.405,0.0,60159,0,2270.33,15475,147,0,0,0,0.009499192,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1383255996,20000.0,1.0,1767.3925,0.0,60206,0,2134.4355,15497,147,0,0,0,0.009485707,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1384762181,20000.0,1.0,1963.8291,0.0,60268,0,1509.8687,15520,158,0,0,0,0.010180413,0,0,0,0,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1385283663,20000.0,1.0,1771.9753,0.0,60294,0,1698.9763,15530,158,0,0,0,0.010173857,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1386250080,20000.0,1.0,1961.9008,0.0,60335,0,2032.8248,15552,158,0,0,0,0.0101594655,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1387253492,20000.0,1.0,1770.076,0.0,60380,0,2137.6765,15573,159,0,0,0,0.010209979,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1388262198,20000.0,1.0,1960.5886,0.0,60422,0,1926.6477,15593,161,0,0,0,0.010325146,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1389252518,20000.0,1.0,1770.9818,0.0,60467,0,2138.7703,15615,161,0,0,0,0.010310599,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1390434873,20000.0,1.0,1959.1158,0.0,60514,0,1715.7227,15636,162,0,0,0,0.010360706,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1391278763,20000.0,1.0,1768.583,0.0,60557,0,2450.266,15659,162,0,0,0,0.010345488,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1392242996,20000.0,1.0,2012.8958,0.0,60596,0,2135.6455,15680,162,0,0,0,0.010331633,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1393246599,20000.0,1.0,1818.6492,0.0,60641,0,2123.2456,15702,162,0,0,0,0.010317157,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1394380996,20000.0,1.0,1963.8057,0.0,60689,0,1929.8091,15724,162,0,0,0,0.0103027215,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1395334131,20000.0,1.0,1769.6765,0.0,60733,0,2233.068,15746,162,0,0,0,0.010288327,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1396387689,20000.0,1.0,1960.434,0.0,60776,0,2249.9075,15768,162,0,0,0,0.0102739725,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1397249167,20000.0,1.0,1771.6068,0.0,60817,0,1404.6882,15783,165,0,0,0,0.010454286,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1398275819,20000.0,1.0,1960.8295,0.0,60860,0,2136.5454,15806,165,0,0,0,0.010439074,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1399247970,20000.0,1.0,1768.412,0.0,60904,0,2135.6667,15827,165,0,0,0,0.010425223,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1400267997,20000.0,1.0,1980.9031,0.0,60947,0,2152.4617,15850,165,0,0,0,0.010410095,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1401254125,20000.0,1.0,1708.993,0.0,60993,0,2139.9912,15871,165,0,0,0,0.01039632,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1402245433,20000.0,1.0,1951.0911,0.0,61032,0,275.5891,15873,165,0,0,0,0.01039501,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1403248937,20000.0,1.0,1737.774,0.0,61078,0,39.74326,15875,165,0,0,0,0.010393701,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1404262492,20000.0,1.0,1899.8259,0.0,61119,0,39.975296,15877,165,0,0,0,0.010392391,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1405247568,20000.0,1.0,1705.8817,0.0,61162,0,39.927013,15879,165,0,0,0,0.010391083,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1406261259,20000.0,1.0,1893.1039,0.0,61204,0,39.83385,15881,165,0,0,0,0.010389774,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1407257226,20000.0,1.0,1705.4901,0.0,61248,0,39.917847,15883,165,0,0,0,0.010388466,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1408256694,20000.0,1.0,1896.9008,0.0,61289,0,39.913746,15885,165,0,0,0,0.010387158,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1409276528,20000.0,1.0,1704.5563,0.0,61334,0,39.895992,15887,165,0,0,0,0.01038585,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1410258046,20000.0,1.0,1894.0658,0.0,61374,0,39.85409,15889,165,0,0,0,0.010384543,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1411257004,20000.0,1.0,1706.4642,0.0,61420,0,39.94065,15892,165,0,0,0,0.010382582,0,0,0,0,1,1,46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
