timestamp,timestamp_sample,lat,lon,alt,alt_ellipsoid,delta_alt,eph,epv,terrain_alt,lat_lon_reset_counter,alt_reset_counter,terrain_alt_valid,dead_reckoning
1263722231,1263721015,-23.55604288571455,-46.730168485167574,730.35284,734.13513,-0.0,1.0386715,1.542028,nan,2,0,0,0
1263922079,1263920786,-23.55604297622127,-46.7301684513962,730.374,734.1364,-0.0,1.0387133,1.5418609,nan,2,0,0,0
1264121915,1264120550,-23.556043079249836,-46.730168384859205,730.39886,734.1415,-0.0,1.0387591,1.5416945,nan,2,0,0,0
1264321628,1264320320,-23.556043198859133,-46.730168275835446,730.42255,734.14514,-0.0,1.0388066,1.5421337,nan,2,0,0,0
1264521310,1264520085,-23.55604331192014,-46.730168315258105,730.44775,734.15027,-0.0,1.0388559,1.5419664,nan,2,0,0,0
1264721211,1264719855,-23.55604341597786,-46.73016835009151,730.47064,734.15314,-0.0,1.0389065,1.5417976,nan,2,0,0,0
1264919276,1264914626,-23.55604347377341,-46.73016836199738,730.4951,734.1577,-0.0,1.0387573,1.5420715,nan,2,0,0,0
1265115755,1265114394,-23.556043558113558,-46.73016832693952,730.51855,734.16113,-0.0,1.0388014,1.541908,nan,2,0,0,0
1265315564,1265314162,-23.556043657608555,-46.73016830324484,730.5453,734.1679,-0.0,1.0388231,1.541745,nan,2,0,0,0
1265525292,1265523918,-23.556043756391663,-46.73016832591978,730.5834,734.1858,-0.0,1.0390549,1.5417478,nan,2,0,0,0
1265725436,1265723686,-23.556043864699085,-46.730168374034406,730.6252,734.20764,-0.0,1.0390831,1.5415864,nan,2,0,0,0
1265928480,1265923454,-23.55604393861218,-46.7301684629423,730.6717,734.23444,-0.0,1.0391067,1.5420295,nan,2,0,0,0
1266125042,1266123221,-23.55604397866915,-46.73016855759493,730.72205,734.2645,-0.0,1.0391358,1.5418643,nan,2,0,0,0
1266314761,1266313000,-23.556043903336583,-46.73016857201757,730.76984,734.29254,-0.0,1.0389526,1.5415351,nan,2,0,0,0
1266514669,1266512768,-23.55604381169991,-46.73016857316366,730.8271,734.3295,-0.0,1.0389636,1.5419759,nan,2,0,0,0
1266713908,1266712536,-23.556043689575596,-46.73016850214022,730.8792,734.36176,-0.0,1.0389731,1.5418113,nan,2,0,0,0
1266923520,1266922291,-23.556043588294564,-46.730168441633246,730.92834,734.39056,-0.0,1.0391772,1.5418154,nan,2,0,0,0
1267123503,1267122063,-23.556043470797334,-46.7301683531791,730.9751,734.4173,-0.0,1.0391735,1.5416504,nan,2,0,0,0
1267323048,1267321827,-23.556043342744438,-46.730168308456115,731.01776,734.4403,-0.0,1.039169,1.5420935,nan,2,0,0,0
1267522899,1267521594,-23.556043248886425,-46.73016830171489,731.0599,734.4625,-0.0,1.039173,1.5419266,nan,2,0,0,0
1267722595,1267721362,-23.55604317840392,-46.73016834335489,731.08325,734.46576,-0.0,1.0391651,1.5417582,nan,2,0,0,0
1267922350,1267921130,-23.556043156231254,-46.730168372003746,731.0821,734.44476,-0.0,1.0391746,1.5422001,nan,2,0,0,0
1268122620,1268120897,-23.55604315415999,-46.730168405672245,731.07825,734.42096,-0.0,1.0391775,1.5420334,nan,2,0,0,0
1268321890,1268320664,-23.556043160875436,-46.730168487090424,731.0731,734.3955,-0.0,1.0391631,1.5418669,nan,2,0,0,0
1268521868,1268520432,-23.556043172621038,-46.73016860644824,731.07227,734.37463,-0.0,1.0391431,1.5417006,nan,2,0,0,0
1268721491,1268720199,-23.556043158748338,-46.73016872918365,731.0657,734.34845,-0.0,1.039125,1.5421414,nan,2,0,0,0
1268921184,1268919967,-23.55604311739194,-46.73016881199121,731.06226,734.32465,-0.0,1.0391178,1.5419731,nan,2,0,0,0
1269121068,1269119738,-23.556043121311426,-46.73016886785744,731.0517,734.2941,-0.0,1.0391126,1.5418051,nan,2,0,0,0
1269316284,1269314508,-23.556043164003572,-46.730168908080024,731.02985,734.25226,-0.0,1.0389194,1.5420791,nan,2,0,0,0
1269515988,1269514274,-23.556043198743055,-46.73016899221621,731.00134,734.20374,-0.0,1.0389388,1.5419158,nan,2,0,0,0
1269715867,1269714042,-23.556043318133568,-46.73016908228898,730.96246,734.1451,-0.0,1.0389556,1.5417504,nan,2,0,0,0
1269925152,1269923797,-23.55604347282965,-46.73016917440144,730.91327,734.0757,-0.0,1.0391692,1.5417533,nan,2,0,0,0
1270124953,1270123564,-23.556043566018634,-46.73016929715562,730.8655,734.00793,-0.0,1.0391656,1.542198,nan,2,0,0,0
1270324697,1270323331,-23.55604361004012,-46.7301694258931,730.82184,733.9443,-0.0,1.0391452,1.5420319,nan,2,0,0,0
1270514338,1270513110,-23.55604364004746,-46.730169516087464,730.778,733.8805,-0.0,1.0389231,1.5416992,nan,2,0,0,0
1270714235,1270712878,-23.55604363566694,-46.7301695722297,730.7357,733.81824,-0.0,1.0388999,1.5421408,nan,2,0,0,0
1270914309,1270912645,-23.55604354445051,-46.73016959447416,730.69794,733.76044,-0.0,1.0388795,1.5419734,nan,2,0,0,0
1271113728,1271112412,-23.55604339162838,-46.73016958553886,730.6596,733.70215,-0.0,1.038872,1.541808,nan,2,0,0,0
1271323897,1271322168,-23.55604327381379,-46.73016956154467,730.6143,733.6369,-0.0,1.0390778,1.541809,nan,2,0,0,0
1271523354,1271521935,-23.556043187475314,-46.730169551814114,730.56665,733.56915,-0.0,1.0390797,1.5416429,nan,2,0,0,0
1271722937,1271721702,-23.556043099863214,-46.730169533967,730.50616,733.4887,-0.0,1.039089,1.5420828,nan,2,0,0,0
1271923193,1271921470,-23.55604305769424,-46.730169493145624,730.44385,733.4064,-0.0,1.0390886,1.5419149,nan,2,0,0,0
1272117453,1272116243,-23.55604300967173,-46.73016946194715,730.37604,733.31824,-0.0,1.0388817,1.5421873,nan,2,0,0,0
1272317712,1272316011,-23.55604303292721,-46.73016938544102,730.2921,733.21454,-0.0,1.0388734,1.5420225,nan,2,0,0,0
1272517012,1272515778,-23.556043066285927,-46.730169308270604,730.21,733.11255,-0.0,1.0388674,1.5418574,nan,2,0,0,0
1272716867,1272715545,-23.556043109846502,-46.73016923485673,730.1259,733.0084,-0.0,1.0388626,1.5416923,nan,2,0,0,0
1272916530,1272915313,-23.556043110965774,-46.73016918118455,730.0462,732.90875,-0.0,1.0388329,1.5421342,nan,2,0,0,0
1273116302,1273115091,-23.556043121073305,-46.730169155772955,729.9796,732.82214,-0.0,1.0387719,1.5419692,nan,2,0,0,0
1273316139,1273314850,-23.556043214116535,-46.73016916599472,729.91864,732.7412,-0.0,1.0387013,1.541804,nan,2,0,0,0
1273516318,1273514615,-23.556043253253723,-46.730169112621944,729.85535,732.65796,-0.0,1.0386218,1.5416368,nan,2,0,0,0
1273716125,1273714394,-23.556043320013988,-46.730169078803776,729.79065,732.57324,-0.0,1.0385448,1.5420774,nan,2,0,0,0
1273925565,1273924139,-23.556043355731223,-46.73016909413871,729.7196,732.48224,-0.0,1.0386832,1.5420778,nan,2,0,0,0
1274125259,1274123906,-23.556043354133813,-46.730169145944316,729.6532,732.3956,-0.0,1.0386258,1.5419103,nan,2,0,0,0
1274325468,1274323674,-23.55604331718368,-46.7301691456215,729.5917,732.3141,-0.0,1.038577,1.5417448,nan,2,0,0,0
1274514675,1274513453,-23.556043303624083,-46.73016913704181,729.54047,732.2429,-0.0,1.0383418,1.542018,nan,2,0,0,0
