timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
42747256,-0.009568953,0.0027065647,-0.00040178353,5010,0,-0.3086963,0.319677,-9.681388,5010,0
42752267,-0.009300015,0.0023034883,-0.0028418167,5011,0,-0.2897416,0.33110958,-9.694622,5011,0
42757277,-0.0075282264,0.0033231052,-0.0027229616,5010,0,-0.31146735,0.31732488,-9.685861,5010,0
42762311,-0.008846273,0.0035651007,-0.0014268364,5034,0,-0.29556566,0.31672183,-9.674092,5034,0
42767297,-0.008187376,0.0023404083,-0.0021891631,4986,0,-0.2842113,0.31174073,-9.6932535,4986,0
42772310,-0.007872887,0.0034787732,-0.002230611,5013,0,-0.3028212,0.3380803,-9.692358,5013,0
42777318,-0.0074139154,0.0038246715,-0.002171037,5008,0,-0.30311003,0.36382127,-9.706261,5008,0
42782328,-0.009874688,0.0033197592,-0.0020495064,5010,0,-0.29855156,0.3181415,-9.69242,5010,0
42787339,-0.009226545,0.0023250054,-0.0013911632,5011,0,-0.2740109,0.33205348,-9.697494,5011,0
42792349,-0.008558295,0.001752265,-0.0020375152,5010,0,-0.2817064,0.32664713,-9.699028,5010,0
42797359,-0.00827656,0.003323991,-0.0012481967,5010,0,-0.28928965,0.32405046,-9.712242,5010,0
42802369,-0.008732431,0.0018852776,-0.00026557132,5010,0,-0.299547,0.32400692,-9.680194,5010,0
42807380,-0.009918816,0.0014903656,-0.002040669,5011,0,-0.29186767,0.3233375,-9.719375,5011,0
42812390,-0.008427435,0.0027719059,0.00020899766,5010,0,-0.2785125,0.326676,-9.68414,5010,0
42817401,-0.008770121,0.0033794756,-0.0018628476,5011,0,-0.30326697,0.33120558,-9.685704,5011,0
42822410,-0.00820117,0.0038409624,-0.0005953675,5009,0,-0.27610433,0.33658165,-9.705104,5009,0
42827420,-0.008325481,0.0027783778,-0.0016354719,5010,0,-0.3030884,0.31773603,-9.685997,5010,0
42832431,-0.00841588,0.0012806826,-0.0031269041,5011,0,-0.26572457,0.304979,-9.699524,5011,0
42837443,-0.007723951,0.0037120623,-0.0006442581,5012,0,-0.2891933,0.32698098,-9.717052,5012,0
42842451,-0.009593766,0.003688036,-0.00087002886,5008,0,-0.3160798,0.32564333,-9.706037,5008,0
42847464,-0.008749637,0.0041880864,-0.003062413,5013,0,-0.29551893,0.33360964,-9.691399,5013,0
42852472,-0.0098887,0.0040066945,-0.002240835,5008,0,-0.28660586,0.32223877,-9.707169,5008,0
42857482,-0.008181683,0.0035894597,-0.0018155442,5010,0,-0.31104234,0.33386683,-9.679178,5010,0
42862492,-0.009267211,0.0035560783,-0.0020295808,5010,0,-0.29568005,0.32601392,-9.69159,5010,0
