timestamp,gyro_rad[0],gyro_rad[1],gyro_rad[2],gyro_integral_dt,accelerometer_timestamp_relative,accelerometer_m_s2[0],accelerometer_m_s2[1],accelerometer_m_s2[2],accelerometer_integral_dt,accelerometer_clipping
1333809473,-0.014001146,-0.013366902,-0.0007825184,4994,0,-0.22957438,0.45898208,-10.063285,4994,0
1333814468,-0.00489001,0.030873619,0.000647973,4995,0,-1.1667112,0.0821046,-9.95445,4995,0
1333819462,-0.022295758,0.013406204,-0.0064254794,4994,0,0.6273471,0.38622433,-9.434542,4994,0
1333824456,0.008250339,-0.02190076,0.0037059358,4994,0,1.0472912,0.32558933,-9.782791,4994,0
1333829451,0.023928124,-0.010166128,-0.0015810347,4995,0,0.28207105,0.4300129,-9.981876,4995,0
1333834445,-0.021716207,0.01274899,-0.0014729347,4994,0,-0.7961815,0.08688721,-9.887083,4994,0
1333839439,-0.015786003,0.026845237,-0.0011385311,4994,0,-0.22526303,0.14082949,-9.971116,4994,0
1333844433,0.0010458322,-0.021850428,0.0060699116,4994,0,1.2284592,0.7772311,-9.297207,4994,0
1333849433,0.01095115,-0.0032883377,0.00042888243,5000,0,0.65614355,0.32293335,-10.318483,5000,0
1333854422,-0.007627594,-0.008305336,0.0042486493,4989,0,-0.82400775,0.43719852,-9.771688,4989,0
1333859416,-0.0075072544,0.050369788,0.004799163,4994,0,-0.3440053,0.021201784,-10.08292,4994,0
1333864410,-0.017767875,-0.016653148,0.0052544703,4994,0,0.69540656,0.7035574,-9.364142,4994,0
1333869405,0.029710546,-0.0039205574,0.009029962,4995,0,1.0622656,0.39559025,-10.106798,4995,0
1333874399,-0.024407618,-0.017538898,0.0034093978,4994,0,-0.4731681,0.37258455,-9.833563,4994,0
1333879393,0.0060643163,0.03529766,0.011485134,4994,0,-0.7852362,0.022891097,-9.993343,4994,0
1333884410,-0.038984824,0.003079621,0.0020468405,5017,0,0.56030244,0.3625685,-9.509298,5017,0
1333889393,0.04901639,-0.012583868,0.0029364338,4983,0,1.0110819,0.7854933,-9.912999,4983,0
1333894385,-0.04252272,-0.008358098,0.0032600784,4992,0,0.25133348,0.01910393,-9.984586,4992,0
1333899370,0.033798072,0.022456018,0.004241676,4985,0,-1.1876723,0.43808046,-9.767898,4985,0
1333904364,-0.0469783,0.022934953,-0.0019442105,4994,0,0.2500517,-0.17016113,-9.915784,4994,0
1333909358,0.034303326,-0.03140166,-0.003992518,4994,0,1.2500885,0.9379984,-9.496917,4994,0
1333914353,-0.015685227,0.0070840395,-0.005091335,4995,0,0.09996823,0.14231972,-10.319651,4995,0
1333919347,-0.001179641,0.0027218508,-0.0043377806,4994,0,-0.5778495,0.30132285,-9.645581,4994,0
1333924341,-0.0112182265,0.032769788,-0.004679001,4994,0,-0.663509,0.03395211,-10.190387,4994,0
1333929335,-0.012244188,-0.012287573,-0.0086684,4994,0,1.2243284,0.742252,-9.275273,4994,0
1333934330,0.02915566,-0.017200327,-0.008994303,4995,0,0.6757621,0.6256176,-9.977985,4995,0
1333939324,-0.039331805,0.012721944,0.004789574,4994,0,-0.72255343,0.15258296,-10.069432,4994,0
1333944318,0.029482028,0.019994827,0.007999078,4994,0,-0.44916967,0.15611847,-9.506012,4994,0
1333949313,-0.045868315,0.0023958848,0.002393476,4995,0,0.67747456,0.3497656,-9.928018,4995,0
1333954307,0.040539104,-0.019004842,0.0031795073,4994,0,1.2103075,0.86770433,-9.804689,4994,0
1333959305,-0.021753166,0.009556764,0.013978222,4998,0,-0.6112981,0.052831855,-10.05985,4998,0
1333964296,-0.0029272933,0.011494149,0.025096191,4991,0,-0.5365888,0.41585273,-9.86982,4991,0
1333969290,0.005700173,0.023881773,0.003408298,4994,0,-0.044997156,0.095463924,-9.92282,4994,0
1333974284,-0.03068204,-0.03752279,-0.0008615693,4994,0,1.3700324,0.6927473,-9.604777,4994,0
1333979278,0.035722617,0.014851254,0.0019084716,4994,0,-0.0800317,0.4770309,-10.031884,4994,0
1333984272,-0.048485495,-0.0047246744,0.012670307,4994,0,-1.0101523,-0.36224705,-9.873293,4994,0
1333989267,0.027108518,0.036043454,0.0025511142,4995,0,0.34161666,0.5319461,-9.772011,4995,0
1333994261,-0.022857482,-0.026094537,-0.009592488,4994,0,0.9018694,0.17727673,-9.54072,4994,0
1333999284,0.01732079,0.0016528137,-0.01009319,5023,0,0.895926,1.0336436,-9.987909,5023,0
1334004249,-0.022495085,0.0072623077,-0.00071558263,4965,0,-0.9389097,-0.6442144,-9.801622,4965,0
1334009250,0.0055510537,0.014865372,0.010804687,5001,0,-0.20907402,0.73771036,-10.035466,5001,0
1334014242,-0.0036048729,-0.0059631816,-0.012747723,4992,0,1.0001278,-0.08698793,-9.496165,4992,0
1334019233,0.00095082575,-0.012683521,-0.011387102,4991,0,0.88901687,1.3831993,-10.190873,4991,0
1334024227,-0.01463304,0.0055471454,0.0045202053,4994,0,-0.6848906,-0.65666443,-9.750921,4994,0
1334029221,0.005324489,0.025765633,0.022184715,4994,0,-0.58772796,0.71225846,-10.046775,4994,0
1334034215,0.0039055014,-0.0014375291,-0.004337376,4994,0,0.7433603,0.02652244,-9.78559,4994,0
1334039210,-0.010861019,-0.015296632,0.00026291344,4995,0,0.78522986,1.263676,-9.749799,4995,0
1334044204,0.007907138,0.013532309,0.0074898186,4994,0,-0.14122596,-0.15640193,-9.982659,4994,0
1334049205,-0.031936713,0.0066304393,0.025490835,5001,0,-0.92443365,0.3245645,-9.830913,5001,0
1334054192,0.028841507,0.012755022,0.011252687,4987,0,0.2975118,0.15168011,-9.871924,4987,0
1334059187,-0.043555625,-0.02887206,-0.015456824,4995,0,1.1202679,0.9089753,-9.712228,4995,0
1334064181,0.03938352,0.0017921188,0.0016314216,4994,0,-0.049575906,0.04530312,-9.720024,4994,0
1334069183,-0.058760237,0.020297064,0.0147927925,5002,0,-0.6949198,0.06501542,-10.244409,5002,0
1334074169,0.055395097,0.014328619,0.012339038,4986,0,0.28033733,0.1524781,-9.680695,4986,0
1334079164,-0.048828118,-0.0033103754,-0.015273336,4995,0,0.65298045,0.7566179,-9.982021,4995,0
1334084158,0.041473046,-0.011580036,-0.0131409485,4994,0,0.93327814,0.6869557,-9.549695,4994,0
1334089152,-0.042231414,0.014431221,0.013334213,4994,0,-1.2630147,-0.20177594,-10.1740055,4994,0
1334094146,0.025521997,0.019387417,0.016560234,4994,0,0.3441256,0.4482423,-9.72697,4994,0
1334099141,-0.010787163,-0.012722685,-0.017579164,4995,0,0.26731887,0.4067481,-10.188818,4995,0
1334104135,-0.00823992,-0.0015469567,-0.015943265,4994,0,0.9432712,0.93053496,-9.514342,4994,0
1334109129,-7.741568e-05,0.006643918,0.006386806,4994,0,-0.6594809,-0.089662865,-10.300418,4994,0
1334114123,-0.012855127,0.024225311,0.025195858,4994,0,-0.38984713,0.15137266,-9.874,4994,0
1334119118,0.025992174,-0.015407848,0.00075962313,4995,0,0.4947205,0.25952858,-10.01394,4995,0
1334124112,-0.03830402,-0.014948515,-0.008353529,4994,0,0.6556435,0.84932584,-9.462556,4994,0
1334129106,0.013340749,0.008905595,0.013446836,4994,0,-0.042078212,-0.016086068,-9.572109,4994,0
1334134101,-0.017746838,0.01025561,0.029520355,4995,0,-0.67920446,-0.08478843,-10.040321,4995,0
1334139109,0.027446091,0.0061438284,0.017990757,5008,0,0.7259373,0.3699257,-9.7432375,5008,0
1334144089,-0.033007175,-0.013650142,-0.013632153,4980,0,0.3595418,0.5433857,-9.8745165,4980,0
1334149083,0.009117511,0.005730487,-0.0062469323,4994,0,0.75831604,0.81126547,-9.69103,4994,0
