timestamp,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
34235846,0.50461286,-0.016376209,-0.005615539,0.8631722,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34285957,0.50458217,-0.016379066,-0.0056386525,0.86318994,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34336071,0.504552,-0.016371252,-0.0056173103,0.86320794,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34386185,0.5045117,-0.016371703,-0.0056015207,0.8632315,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34436296,0.50446635,-0.01637846,-0.005597644,0.86325794,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34486409,0.5044208,-0.016387349,-0.0056006727,0.86328435,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34541533,0.5043692,-0.01639311,-0.005613825,0.8633143,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34586634,0.50432813,-0.01637544,-0.0056364317,0.8633384,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34636750,0.50429344,-0.016378842,-0.005639971,0.8633586,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34686893,0.50425464,-0.0163716,-0.0056336313,0.8633815,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34736976,0.50421023,-0.016388273,-0.005608995,0.8634072,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34787086,0.50416297,-0.016391193,-0.0056073396,0.8634348,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34837199,0.50412536,-0.016386718,-0.005614169,0.86345685,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34887311,0.5040985,-0.016387299,-0.005624766,0.86347246,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34937425,0.5040596,-0.016387122,-0.005628503,0.8634951,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
34987537,0.50403816,-0.016391026,-0.0056148167,0.8635076,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35037650,0.5040092,-0.01639196,-0.0056076706,0.86352456,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35087763,0.5039757,-0.016393691,-0.0056077936,0.86354417,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35137876,0.50394523,-0.016393939,-0.0056133536,0.8635618,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35187989,0.5039167,-0.016392212,-0.0056237765,0.8635784,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35238102,0.5038877,-0.016388105,-0.005635531,0.86359537,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35288217,0.5038658,-0.016379563,-0.0056390106,0.86360836,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35338328,0.50384533,-0.016382366,-0.0056408583,0.8636201,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35388441,0.5038221,-0.016371816,-0.0056367978,0.863634,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35438553,0.5038146,-0.016372632,-0.0056447103,0.86363816,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35488666,0.5037935,-0.01636978,-0.00565272,0.86365056,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35538779,0.50377166,-0.01637016,-0.005654582,0.86366326,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35588894,0.5037476,-0.016361073,-0.0056530097,0.8636775,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
35639006,0.50372183,-0.016371652,-0.00563744,0.86369246,0.9999994,-8.021973e-11,-4.807877e-10,0.0010950316,2
