timestamp,timestamp_sample,q[0],q[1],q[2],q[3],delta_q_reset[0],delta_q_reset[1],delta_q_reset[2],delta_q_reset[3],quat_reset_counter
33539118,33538519,-0.22737731,-0.0043740077,0.111749545,0.9673637,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33589056,33588471,-0.22726882,-0.0039489977,0.11177859,0.9673877,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33639017,33638423,-0.22732125,-0.004134114,0.11186132,0.967365,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33688991,33688381,-0.22741307,-0.004170287,0.112074606,0.9673186,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33738913,33738326,-0.22730027,-0.0040341653,0.11195433,0.9673596,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33788862,33788278,-0.22739425,-0.0037235941,0.111803226,0.96735626,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33838812,33838229,-0.22726046,-0.0036086643,0.11196929,0.96736896,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33888771,33888181,-0.22730389,-0.0036493319,0.11204731,0.9673495,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33938722,33938133,-0.22717413,-0.0035948656,0.11212071,0.9673717,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
33988674,33988084,-0.22715561,-0.0030623563,0.11187086,0.9674068,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34038626,34038036,-0.22706932,-0.00299548,0.11184593,0.9674301,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34088576,34087988,-0.22694583,-0.0033639194,0.112360254,0.96739835,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34138564,34137939,-0.2268312,-0.0032086996,0.1124653,0.9674135,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34188496,34187900,-0.22669968,-0.0028764585,0.11228032,0.9674669,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34238447,34237846,-0.22656907,-0.0028963408,0.11243178,0.9674798,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34288390,34287794,-0.22650635,-0.002713248,0.11234841,0.96750474,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34338329,34337746,-0.22639747,-0.002443595,0.112274684,0.96753955,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34388293,34387697,-0.22634101,-0.002248743,0.11225957,0.96755487,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
34438232,34437649,-0.22618596,-0.0023488249,0.11255381,0.9675567,0.9999963,-6.88926e-10,3.379368e-10,-0.0027132297,3
