timestamp,nav_state_timestamp,failsafe_timestamp,armed_time,takeoff_time,onboard_control_sensors_present,onboard_control_sensors_enabled,onboard_control_sensors_health,nav_state,arming_state,hil_state,failsafe,system_type,system_id,component_id,vehicle_type,is_vtol,is_vtol_tailsitter,vtol_fw_permanent_stab,in_transition_mode,in_transition_to_fw,rc_signal_lost,rc_input_mode,data_link_lost,data_link_lost_counter,high_latency_data_link_lost,engine_failure,mission_failure,geofence_violated,failure_detector_status,latest_arming_reason,latest_disarming_reason
1364164060,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1364670009,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1365172972,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1365680024,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1366184050,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1366693116,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1367203009,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1367711280,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1368222018,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1368735055,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1369236180,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
1369745933,1343399364,587288105,1332637781,1336161142,304709676,304185356,304709679,19,2,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
