timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid
83873277,27859606,-23.5560247,-46.730224299999996,1.5929738,-0.8551097,0.18521197,-0.006160215,0.0002531406,0.0,-0.0050136605,0.020392386,0.0022264007,-0.0043059345,-0.0015272251,-0.006092711,-0.008091494,0.007827185,0.040010385,0.020732982,1.8916984,-0.010638339,720.35876,0.1,0.25407612,0.39262283,0.13285919,0.10648317,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
83973507,27859606,-23.5560247,-46.730224299999996,1.5916445,-0.85163957,0.18524937,-0.006160215,0.0002531406,0.0,-0.0046280813,0.020998519,0.0023069456,-0.003838661,-0.0015272251,-0.006092711,-0.008091494,0.009234381,0.009397753,0.004141091,1.8918507,-0.010638339,720.35876,0.10073049,0.24521513,0.39010373,0.1283369,0.10499747,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84073743,27859606,-23.5560247,-46.730224299999996,1.5904483,-0.8483385,0.18586148,-0.006160215,0.0002531406,0.0,-0.004402952,0.022226397,0.0027812717,-0.002508349,-0.0015272251,-0.006092711,-0.008091494,0.0197102,0.009528037,0.022460317,1.8919309,-0.010638339,720.35876,0.103163764,0.25403914,0.39195713,0.13285622,0.10641561,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84173967,27859606,-23.5560247,-46.730224299999996,1.5887445,-0.8448304,0.18640836,-0.006160215,0.0002531406,0.0,-0.004914328,0.022893362,0.0033161468,-0.0013284556,-0.0015272251,-0.006092711,-0.008091494,-0.014408829,0.009722883,0.004214298,1.8921014,-0.010638339,720.35876,0.10062878,0.24518396,0.38944831,0.12833449,0.10493201,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84274197,27859606,-23.5560247,-46.730224299999996,1.5871283,-0.8415044,0.1861936,-0.006160215,0.0002531406,0.0,-0.004774106,0.023332354,0.0037489112,-0.0010865328,-0.0015272251,-0.006092711,-0.008091494,-0.0071881693,-0.0051595955,0.013655288,1.8922325,-0.010638339,720.35876,0.1,0.25400808,0.39129034,0.13285229,0.10634683,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84374427,27859606,-23.5560247,-46.730224299999996,1.5860243,-0.8375319,0.1855672,-0.006160215,0.0002531406,0.0,-0.0043615256,0.024458302,0.0036495875,-0.0017431033,-0.0015272251,-0.006092711,-0.008091494,0.018272065,-0.0020536168,0.0010339147,1.8924277,-0.010638339,720.35876,0.10119611,0.24515775,0.38879988,0.128332,0.104867585,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84474667,27859606,-23.5560247,-46.730224299999996,1.5852454,-0.8336383,0.18552762,-0.006160215,0.0002531406,0.0,-0.0042571397,0.024605064,0.0033386853,-0.0019953323,-0.0015272251,-0.006092711,-0.008091494,0.0039273603,-0.01738129,-0.011870995,1.8926197,-0.010638339,720.35876,0.1,0.253982,0.39063054,0.13284874,0.10627888,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84574887,27859606,-23.5560247,-46.730224299999996,1.5835029,-0.8295555,0.18479612,-0.006160215,0.0002531406,0.0,-0.00422535,0.025491519,0.002844262,-0.0030547194,-0.0015272251,-0.006092711,-0.008091494,0.005174359,0.013654732,-0.004735833,1.8928312,-0.010638339,720.35876,0.1,0.24513568,0.3905673,0.12832898,0.105064355,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84675121,27859606,-23.5560247,-46.730224299999996,1.5817518,-0.82566005,0.18419598,-0.006160215,0.0002531406,0.0,-0.003991055,0.026258755,0.002606789,-0.0036000109,-0.0015272251,-0.006092711,-0.008091494,0.0125123495,0.013675698,0.008177234,1.8929973,-0.010638339,720.35876,0.1,0.25396034,0.39242947,0.13284853,0.106484696,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
84775347,27859606,-23.5560247,-46.730224299999996,1.5799682,-0.8208861,0.18319404,-0.006160215,0.0002531406,0.0,-0.0031785255,0.027418524,0.0017435981,-0.005064712,-0.0015272251,-0.006092711,-0.008091494,0.028935142,0.0043469374,-0.0032394205,1.8931992,-0.010638339,720.35876,0.1,0.24517484,0.3899188,0.1284088,0.10501119,inf,inf,inf,inf,1,1,1,1,2,0,2,1,3,1,1,1
