timestamp,timestamp_sample,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,heading,delta_heading,ref_alt,dist_bottom,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,heading_reset_counter,xy_global,z_global,dist_bottom_valid,dist_bottom_sensor_bitfield
590731943,590730614,159444046,-23.5560083,-46.73010370000001,0.39279902,-0.9087982,-2.8898375,0.00059244025,-0.004986074,0.0,-0.0026930284,-0.003976993,-0.05160447,-0.039951,0.010183221,-0.022645034,-0.026750553,-0.26912126,0.50316346,-0.12120655,-1.171931,-0.011911286,721.53467,0.12333155,0.27621895,0.3896405,0.13260718,0.10551177,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590831696,590830509,159444046,-23.5560083,-46.73010370000001,0.38971865,-0.9074439,-2.8887722,0.00059244025,-0.004986074,0.0,-0.0031348343,-0.006342809,-0.049604163,-0.03347057,0.010183221,-0.022645034,-0.026750553,0.07033467,-0.22572233,0.13917819,-1.1717659,-0.011911286,721.53467,0.11795807,0.2850641,0.39149028,0.13712499,0.10694188,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
590931714,590930424,159444046,-23.5560083,-46.73010370000001,0.38739458,-0.90701663,-2.8869123,0.00059244025,-0.004986074,0.0,-0.0074700047,-0.0055379234,-0.051447265,-0.03051744,0.010183221,-0.022645034,-0.026750553,-0.5108051,-0.27806893,-0.13978626,-1.1717776,-0.011911286,721.53467,0.121473074,0.2765439,0.39138922,0.13257344,0.10569354,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
591026218,591025303,159444046,-23.5560083,-46.73010370000001,0.38568008,-0.9070808,-2.8864353,0.00059244025,-0.004986074,0.0,-0.005569944,-0.0028793057,-0.05263084,-0.028687244,0.010183221,-0.022645034,-0.026750553,0.34698638,0.5934027,0.049580056,-1.1720632,-0.011911286,721.53467,0.11717987,0.28447768,0.3925783,0.13664524,0.10693272,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
591126111,591125198,159444046,-23.5560083,-46.73010370000001,0.38415578,-0.9065701,-2.88445,0.00059244025,-0.004986074,0.0,-0.007362872,-0.006339942,-0.055201016,-0.026851809,0.010183221,-0.022645034,-0.026750553,-0.12622736,0.3758547,0.10363074,-1.1719483,-0.011911286,721.53467,0.1222415,0.2760777,0.3900482,0.1323645,0.10542974,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
591226270,591225093,159444046,-23.5560083,-46.73010370000001,0.38293335,-0.90606046,-2.8836286,0.00059244025,-0.004986074,0.0,-0.007106477,-0.007138553,-0.057789207,-0.026532669,0.010183221,-0.022645034,-0.026750553,0.45595995,0.06625359,-0.18318978,-1.1719502,-0.011911286,721.53467,0.11674547,0.28487965,0.3919123,0.13688166,0.10686686,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
591325898,591324988,159444046,-23.5560083,-46.73010370000001,0.38061428,-0.9056635,-2.8812518,0.00059244025,-0.004986074,0.0,-0.008972734,-0.00853735,-0.058353238,-0.022802042,0.010183221,-0.022645034,-0.026750553,-0.0302349,-0.63369745,-0.3785633,-1.171789,-0.011911286,721.53467,0.12312317,0.27648667,0.38939226,0.13241608,0.105365664,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
591426022,591424882,159444046,-23.5560083,-46.73010370000001,0.37814587,-0.9054545,-2.8798347,0.00059244025,-0.004986074,0.0,-0.013150939,-0.0045590065,-0.055596042,-0.017278057,0.010183221,-0.022645034,-0.026750553,-1.1356263,-0.50456536,0.33009917,-1.1717216,-0.011911286,721.53467,0.11678553,0.2852931,0.3912452,0.13692957,0.10679921,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
591525839,591524777,159444046,-23.5560083,-46.73010370000001,0.37605232,-0.9049634,-2.8767996,0.00059244025,-0.004986074,0.0,-0.008977458,-0.002125209,-0.055931896,-0.01355126,0.010183221,-0.022645034,-0.026750553,-0.051201105,-0.20177107,-0.108223714,-1.171684,-0.011911286,721.53467,0.12282276,0.27687424,0.3887355,0.13244292,0.10530032,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
591625841,591624675,159444046,-23.5560083,-46.73010370000001,0.37423307,-0.9045958,-2.8748772,0.00059244025,-0.004986074,0.0,-0.007900996,-0.0011309631,-0.055909008,-0.011106025,0.010183221,-0.022645034,-0.026750553,0.24493234,0.46994847,0.045427077,-1.1715124,-0.011911286,721.53467,0.1162014,0.28568283,0.3930322,0.13695061,0.107002996,inf,inf,inf,inf,1,1,1,1,2,0,2,1,4,1,1,1,0
