timestamp,heartbeat_time,data_rate,rate_multiplier,rate_rx,rate_tx,rate_txerr,remote_system_id,remote_component_id,remote_type,remote_system_status,type,mode,flow_control,forwarding,mavlink_v2,ftp,streams
149588789,149583547,1200.0,0.40324232,0.050590817,0.41067842,0.0,255,190,6,4,1,0,1,1,0,1,36
150089345,0,800000.0,0.05,0.0,0.0,0.81207746,0,0,0,0,4,5,0,0,0,1,44
150515783,150506536,1200.0,0.40324232,0.05069673,0.6342061,0.0,255,190,6,4,1,0,1,1,0,1,36
151089795,0,800000.0,0.05,0.0,0.0,0.8003157,0,0,0,0,4,5,0,0,0,1,44
151524639,150506536,1200.0,0.40324232,0.050846692,0.60816634,0.0,255,190,6,4,1,0,1,1,0,1,36
151534924,151528546,1200.0,0.40324232,0.050846692,0.60816634,0.0,255,190,6,4,1,0,1,1,0,1,36
152091255,0,800000.0,0.05,0.0,0.0,0.7072962,0,0,0,0,4,5,0,0,0,1,44
152544645,151528546,1200.0,0.40324232,0.050836153,0.5661752,0.0,255,190,6,4,1,0,1,1,0,1,36
152574813,152572538,1200.0,0.40324232,0.050836153,0.5661752,0.0,255,190,6,4,1,0,1,1,0,1,36
153092659,0,800000.0,0.05,0.0,0.0,0.75238323,0,0,0,0,4,5,0,0,0,1,44
153501777,153494526,1200.0,0.40324232,0.05050805,0.47140846,0.0,255,190,6,4,1,0,1,1,0,1,36
154094489,0,800000.0,0.05,0.0,0.0,0.8693959,0,0,0,0,4,5,0,0,0,1,44
154507826,153494526,1200.0,0.40324232,0.07256526,0.38867146,0.0,255,190,6,4,1,0,1,1,0,1,36
154527730,154521624,1200.0,0.40324232,0.07256526,0.38867146,0.0,255,190,6,4,1,0,1,1,0,1,36
155094590,0,800000.0,0.05,0.0,0.0,0.8558151,0,0,0,0,4,5,0,0,0,1,44
155536637,154521624,1200.0,0.40324232,0.05069799,0.6342219,0.0,255,190,6,4,1,0,1,1,0,1,36
155568920,155567545,1200.0,0.40324232,0.05069799,0.6342219,0.0,255,190,6,4,1,0,1,1,0,1,36
156096758,0,800000.0,0.05,0.0,0.0,0.70650923,0,0,0,0,4,5,0,0,0,1,44
156573713,155567545,1200.0,0.40324232,0.050996173,0.6019548,0.0,255,190,6,4,1,0,1,1,0,1,36
156593666,156592535,1200.0,0.40324232,0.050996173,0.6019548,0.0,255,190,6,4,1,0,1,1,0,1,36
157097666,0,800000.0,0.05,0.0,0.0,0.71031165,0,0,0,0,4,5,0,0,0,1,44
157520774,157514616,1200.0,0.40324232,0.05064724,0.5362649,0.0,255,190,6,4,1,0,1,1,0,1,36
158097683,0,800000.0,0.05,0.0,0.0,0.81298614,0,0,0,0,4,5,0,0,0,1,44
158529668,157514616,1200.0,0.40324232,0.05064543,0.47269067,0.0,255,190,6,4,1,0,1,1,0,1,36
158570038,158560534,1200.0,0.40324232,0.05064543,0.47269067,0.0,255,190,6,4,1,0,1,1,0,1,36
159098619,0,800000.0,0.05,0.0,0.0,0.8002765,0,0,0,0,4,5,0,0,0,1,44
159576876,158560534,1200.0,0.40324232,0.050547395,0.36572528,0.0,255,190,6,4,1,0,1,1,0,1,36
159586804,159586491,1200.0,0.40324232,0.050547395,0.36572528,0.0,255,190,6,4,1,0,1,1,0,1,36
160100635,0,800000.0,0.05,0.0,0.0,0.7514602,0,0,0,0,4,5,0,0,0,1,44
160513761,160508122,1200.0,0.40324232,0.050765514,0.6709011,0.0,255,190,6,4,1,0,1,1,0,1,36
161102748,0,800000.0,0.05,0.0,0.0,0.70954895,0,0,0,0,4,5,0,0,0,1,44
161514587,160508122,1200.0,0.40324232,0.05093231,0.601201,0.0,255,190,6,4,1,0,1,1,0,1,36
161565772,161560540,1200.0,0.40324232,0.05093231,0.601201,0.0,255,190,6,4,1,0,1,1,0,1,36
162105041,0,800000.0,0.05,0.0,0.0,0.7664089,0,0,0,0,4,5,0,0,0,1,44
162566527,161560540,1200.0,0.40324232,0.050708123,0.5369095,0.0,255,190,6,4,1,0,1,1,0,1,36
162587960,162579546,1200.0,0.40324232,0.050708123,0.5369095,0.0,255,190,6,4,1,0,1,1,0,1,36
163107557,0,800000.0,0.05,0.0,0.0,0.8436992,0,0,0,0,4,5,0,0,0,1,44
163594587,162579546,1200.0,0.40324232,0.05065871,0.5085737,0.0,255,190,6,4,1,0,1,1,0,1,36
163634659,163626488,1200.0,0.40324232,0.05065871,0.5085737,0.0,255,190,6,4,1,0,1,1,0,1,36
164107834,0,800000.0,0.05,0.0,0.0,0.7077544,0,0,0,0,4,5,0,0,0,1,44
164556794,164554523,1200.0,0.40324232,0.07297854,0.45286682,0.0,255,190,6,4,1,0,1,1,0,1,36
165109732,0,800000.0,0.05,0.0,0.0,0.7645466,0,0,0,0,4,5,0,0,0,1,44
165564887,164554523,1200.0,0.40324232,0.050581485,0.53556865,0.0,255,190,6,4,1,0,1,1,0,1,36
165574661,165573551,1200.0,0.40324232,0.050581485,0.53556865,0.0,255,190,6,4,1,0,1,1,0,1,36
166110912,0,800000.0,0.05,0.0,0.0,0.7671301,0,0,0,0,4,5,0,0,0,1,44
166583569,165573551,1200.0,0.40324232,0.050694715,0.5983964,0.0,255,190,6,4,1,0,1,1,0,1,36
166634621,166628542,1200.0,0.40324232,0.050694715,0.5983964,0.0,255,190,6,4,1,0,1,1,0,1,36
167113728,0,800000.0,0.05,0.0,0.0,0.7987164,0,0,0,0,4,5,0,0,0,1,44
167555293,167545742,1200.0,0.40324232,0.050897084,0.5389103,0.0,255,190,6,4,1,0,1,1,0,1,36
168114970,0,800000.0,0.05,0.0,0.0,0.75213724,0,0,0,0,4,5,0,0,0,1,44
168556999,167545742,1200.0,0.40324232,0.050698142,0.50896955,0.0,255,190,6,4,1,0,1,1,0,1,36
168576767,168567553,1200.0,0.40324232,0.050698142,0.50896955,0.0,255,190,6,4,1,0,1,1,0,1,36
169117528,0,800000.0,0.05,0.0,0.0,0.7102684,0,0,0,0,4,5,0,0,0,1,44
169583223,168567553,1200.0,0.40324232,0.05080415,0.42934486,0.0,255,190,6,4,1,0,1,1,0,1,36
169624941,169619568,1200.0,0.40324232,0.05080415,0.42934486,0.0,255,190,6,4,1,0,1,1,0,1,36
170119735,0,800000.0,0.05,0.0,0.0,0.8101854,0,0,0,0,4,5,0,0,0,1,44
170552627,170547546,1200.0,0.40324232,0.050514054,0.57051164,0.0,255,190,6,4,1,0,1,1,0,1,36
171121670,0,800000.0,0.05,0.0,0.0,0.79916906,0,0,0,0,4,5,0,0,0,1,44
171562379,171560594,1200.0,0.40324232,0.050870534,0.6004718,0.0,255,190,6,4,1,0,1,1,0,1,36
172122444,0,800000.0,0.05,0.0,0.0,0.7075634,0,0,0,0,4,5,0,0,0,1,44
172563793,171560594,1200.0,0.40324232,0.05059639,0.5357265,0.0,255,190,6,4,1,0,1,1,0,1,36
172623643,172616587,1200.0,0.40324232,0.05059639,0.5357265,0.0,255,190,6,4,1,0,1,1,0,1,36
173123575,0,800000.0,0.05,0.0,0.0,0.7551127,0,0,0,0,4,5,0,0,0,1,44
173524780,173521611,1200.0,0.40324232,0.05068902,0.508878,0.0,255,190,6,4,1,0,1,1,0,1,36
174125004,0,800000.0,0.05,0.0,0.0,0.86966676,0,0,0,0,4,5,0,0,0,1,44
174531811,173521611,1200.0,0.40324232,0.07279566,0.496606,0.0,255,190,6,4,1,0,1,1,0,1,36
174561670,174555320,1200.0,0.40324232,0.07279566,0.496606,0.0,255,190,6,4,1,0,1,1,0,1,36
