timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
679660882,1.2444222,-0.96192497,-0.7443779
679682476,1.2444177,-0.96193457,-0.7440968
679706468,1.2444177,-0.96193457,-0.7440968
679728522,1.2444223,-0.9621613,-0.744386
679751827,1.2437061,-0.96193457,-0.74410814
679774468,1.2437106,-0.96192497,-0.7443893
679797551,1.2429945,-0.9621709,-0.7441276
679820548,1.2437108,-0.9621613,-0.74439734
679842470,1.2430035,-0.9621517,-0.7446898
679864608,1.2437062,-0.9621709,-0.7441162
679888654,1.2436928,-0.9621997,-0.74327266
679909602,1.2437106,-0.96192497,-0.7443893
679930516,1.2437061,-0.96193457,-0.74410814
679951585,1.2444177,-0.96193457,-0.7440968
679974475,1.244431,-0.9616693,-0.7449321
679996950,1.2437106,-0.96192497,-0.7443893
680018468,1.2437063,-0.96240723,-0.7441243
680040624,1.2429857,-0.9624264,-0.7435733
680062474,1.2444222,-0.96192497,-0.7443779
680085329,1.2444177,-0.96193457,-0.7440968
680107543,1.2444222,-0.96192497,-0.7443779
680129565,1.2437106,-0.96192497,-0.7443893
680150468,1.2444311,-0.9619058,-0.7449402
680170471,1.2437108,-0.9621613,-0.74439734
680192518,1.2437062,-0.9621709,-0.7441162
680214476,1.2444222,-0.96192497,-0.7443779
680236520,1.2444265,-0.9616789,-0.744651
680259527,1.2444177,-0.96193457,-0.7440968
680281555,1.2437062,-0.9621709,-0.7441162
680303527,1.2437149,-0.9616789,-0.74466234
680325969,1.2429991,-0.9621613,-0.74440867
680347577,1.2437198,-0.96237844,-0.7449677
680368570,1.2429945,-0.9621709,-0.7441276
680389766,1.2444223,-0.9621613,-0.744386
680411530,1.2444222,-0.96192497,-0.7443779
680433536,1.2444222,-0.96192497,-0.7443779
680456518,1.2444266,-0.9619154,-0.74465907
680478468,1.2429991,-0.9621613,-0.74440867
680501803,1.2437152,-0.9621517,-0.7446785
680523528,1.2437018,-0.9624168,-0.7438431
680544510,1.2444222,-0.96192497,-0.7443779
680566471,1.2444177,-0.96193457,-0.7440968
680590487,1.243715,-0.9619154,-0.7446704
680612518,1.2437061,-0.96193457,-0.74410814
680634508,1.2444222,-0.96192497,-0.7443779
680656518,1.243715,-0.9619154,-0.7446704
680678472,1.2437152,-0.9621517,-0.7446785
680700576,1.2437062,-0.9621709,-0.7441162
680721844,1.2444313,-0.9621421,-0.74494827
680742524,1.2437196,-0.9619058,-0.74495155
680765534,1.2437196,-0.9619058,-0.74495155
680787547,1.2437106,-0.96192497,-0.7443893
680809527,1.243715,-0.9619154,-0.7446704
680832474,1.2444222,-0.96192497,-0.7443779
680855006,1.2437108,-0.9621613,-0.74439734
680876468,1.2437017,-0.9621805,-0.74383503
680899399,1.2444178,-0.9621709,-0.74410486
680920510,1.2444222,-0.96192497,-0.7443779
680943022,1.2437062,-0.9621709,-0.7441162
680964520,1.2444401,-0.9618866,-0.74550253
680985549,1.2444265,-0.9616789,-0.744651
681009556,1.2444313,-0.9621421,-0.74494827
681033549,1.2444313,-0.9621421,-0.74494827
681057596,1.2429991,-0.9621613,-0.74440867
681080578,1.24299,-0.9621805,-0.74384636
681103806,1.2437017,-0.9621805,-0.74383503
681125568,1.2444178,-0.9621709,-0.74410486
681148611,1.2444266,-0.9619154,-0.74465907
681170487,1.2437062,-0.9621709,-0.7441162
681194475,1.2437106,-0.96192497,-0.7443893
681217533,1.2444266,-0.9619154,-0.74465907
681239823,1.2444177,-0.96193457,-0.7440968
681263821,1.2444311,-0.9619058,-0.7449402
681286521,1.2437061,-0.96193457,-0.74410814
681308156,1.2437108,-0.9621613,-0.74439734
681328578,1.2437108,-0.9621613,-0.74439734
681352539,1.2437106,-0.96192497,-0.7443893
681375952,1.2444177,-0.96193457,-0.7440968
681397565,1.2437062,-0.9621709,-0.7441162
681419547,1.2437061,-0.96193457,-0.74410814
681441560,1.243715,-0.9619154,-0.7446704
681464614,1.2444266,-0.9619154,-0.74465907
681488598,1.2437108,-0.9621613,-0.74439734
681511538,1.2437108,-0.9621613,-0.74439734
681534532,1.2437152,-0.9621517,-0.7446785
681555588,1.2444177,-0.96193457,-0.7440968
681579532,1.2444177,-0.96193457,-0.7440968
681603529,1.2444177,-0.96193457,-0.7440968
681625549,1.2437061,-0.96193457,-0.74410814
681648648,1.243715,-0.9619154,-0.7446704
681671546,1.2444177,-0.96193457,-0.7440968
681694468,1.2444266,-0.9619154,-0.74465907
681716474,1.243715,-0.9619154,-0.7446704
681739546,1.2429901,-0.9624168,-0.7438544
681761687,1.2437018,-0.9624168,-0.7438431
681785564,1.243715,-0.9619154,-0.7446704
681806579,1.2437196,-0.9619058,-0.74495155
681829706,1.2444222,-0.96192497,-0.7443779
681851541,1.2444266,-0.9619154,-0.74465907
681872582,1.2437061,-0.96193457,-0.74410814
681894523,1.243715,-0.9619154,-0.7446704
681916566,1.2437062,-0.9621709,-0.7441162
681938527,1.2437062,-0.9621709,-0.7441162
681960575,1.2437108,-0.9621613,-0.74439734
681983540,1.2444223,-0.9621613,-0.744386
682005955,1.2437106,-0.96192497,-0.7443893
682030533,1.2444177,-0.96193457,-0.7440968
682053818,1.2444311,-0.9619058,-0.7449402
682075536,1.2444177,-0.96193457,-0.7440968
682096525,1.243715,-0.9619154,-0.7446704
682118481,1.2437196,-0.9619058,-0.74495155
682141808,1.2429945,-0.9621709,-0.7441276
682163530,1.2444267,-0.9621517,-0.7446671
682185937,1.2444131,-0.96194416,-0.7438156
682208520,1.242999,-0.96192497,-0.7444006
682230475,1.2437062,-0.9621709,-0.7441162
682252522,1.2444222,-0.96192497,-0.7443779
682274507,1.2437196,-0.9619058,-0.74495155
682296516,1.2437061,-0.96193457,-0.74410814
682318994,1.2436974,-0.9624264,-0.7435619
682342995,1.2437018,-0.9624168,-0.7438431
682364468,1.2437062,-0.9621709,-0.7441162
682387414,1.2444222,-0.96192497,-0.7443779
682408528,1.2437106,-0.96192497,-0.7443893
682431028,1.2429944,-0.96193457,-0.74411947
